iter	MultiClass
0	2.014133876
1	1.811117692
2	1.661468983
3	1.537610963
4	1.416472644
5	1.319959763
6	1.23716676
7	1.165426197
8	1.104804046
9	1.05184397
10	1.00253745
11	0.9529689307
12	0.9104890461
13	0.8699220632
14	0.8284576741
15	0.7952153207
16	0.7642748725
17	0.7335234324
18	0.7066036139
19	0.6827384919
20	0.660166878
21	0.6374164496
22	0.6202986559
23	0.6038707197
24	0.5843131376
25	0.5679564984
26	0.5508404291
27	0.5377563896
28	0.5225603664
29	0.5078135653
30	0.4952801299
31	0.4838285011
32	0.4711165203
33	0.4609404108
34	0.4517039259
35	0.4412275278
36	0.4316713633
37	0.4221764709
38	0.4142496061
39	0.4060072736
40	0.3982611152
41	0.391473487
42	0.3834800045
43	0.3788609848
44	0.3720007357
45	0.3639115946
46	0.357243614
47	0.35281978
48	0.3461747326
49	0.3424258371
50	0.3368659273
51	0.3301699343
52	0.3261552851
53	0.3209578113
54	0.3179846134
55	0.3143862403
56	0.3093957819
57	0.3041912788
58	0.3012943266
59	0.2958563332
60	0.2914713105
61	0.2870429589
62	0.2837119181
63	0.2795980594
64	0.2767512665
65	0.2737417612
66	0.2695920986
67	0.2663727633
68	0.2631523207
69	0.2604402763
70	0.2574032067
71	0.2546532412
72	0.2514724505
73	0.2491664224
74	0.245943847
75	0.2439481589
76	0.2418785509
77	0.2395409599
78	0.23648165
79	0.2345693689
80	0.2318419216
81	0.2285891509
82	0.226414301
83	0.2249326257
84	0.2226897467
85	0.2207396885
86	0.2185132558
87	0.2158584416
88	0.2139017301
89	0.2116165714
90	0.2092908713
91	0.2068756508
92	0.2048783842
93	0.2031532732
94	0.2012785999
95	0.1994360926
96	0.1981968002
97	0.1961256376
98	0.1945255625
99	0.1927257635
100	0.1915031154
101	0.1898413659
102	0.1881456287
103	0.1864243287
104	0.1852464529
105	0.1842981818
106	0.1832721835
107	0.1815699944
108	0.1802031814
109	0.1792257037
110	0.1786696374
111	0.1773102814
112	0.1763506474
113	0.1750724923
114	0.17426832
115	0.1733325343
116	0.1723250859
117	0.1715531476
118	0.1707839303
119	0.1690258947
120	0.1684415662
121	0.1679729102
122	0.1674811111
123	0.1670392491
124	0.1657766109
125	0.1650274057
126	0.1645817625
127	0.1640055266
128	0.1634977371
129	0.1628799595
130	0.1625567397
131	0.1622054317
132	0.1616338505
133	0.161037558
134	0.1604068024
135	0.159329786
136	0.1589842915
137	0.1578830519
138	0.1568463204
139	0.1563342941
140	0.1554359647
141	0.1553831933
142	0.1548876665
143	0.1545458282
144	0.1539700689
145	0.1535197101
146	0.1533961744
147	0.1530818453
148	0.1527987322
149	0.1525790395
150	0.152415026
151	0.1516101316
152	0.1512382518
153	0.1504269483
154	0.1501364869
155	0.1491826848
156	0.1483769059
157	0.1482668506
158	0.1480874896
159	0.147961165
160	0.1473522933
161	0.1472806624
162	0.1470189379
163	0.1465767578
164	0.1463403995
165	0.146218646
166	0.1460935598
167	0.1460897806
168	0.1457516201
169	0.1456347153
170	0.1451967624
171	0.1450400164
172	0.1449272279
173	0.1449091766
174	0.144518875
175	0.1438401647
176	0.1429702885
177	0.1427727315
178	0.1427687768
179	0.1427014648
180	0.1426598935
181	0.1421374581
182	0.1421268705
183	0.1419900139
184	0.1418681374
185	0.141840798
186	0.1417649565
187	0.1416975386
188	0.1415911967
189	0.1413271475
190	0.1405696624
191	0.1405299514
192	0.1404696672
193	0.140228069
194	0.1401701967
195	0.1395459037
196	0.1391721348
197	0.138914414
198	0.1383525935
199	0.1376938312
200	0.1373509651
201	0.1371874671
202	0.1370639746
203	0.1369988144
204	0.1369937707
205	0.1368797913
206	0.1366763939
207	0.1364036082
208	0.1360474724
209	0.1356619509
210	0.1354504125
211	0.1352952798
212	0.1349410255
213	0.1348647898
214	0.1345489966
215	0.1343734779
216	0.1341831058
217	0.1336711482
218	0.1334050337
219	0.1333695941
220	0.1332128436
221	0.1330438199
222	0.1329636396
223	0.1329029968
224	0.132570063
225	0.1325308864
226	0.1324568607
227	0.1321803728
228	0.1316617822
229	0.1316262605
230	0.1313961136
231	0.131356195
232	0.1311749053
233	0.1310496863
234	0.1305617673
235	0.1303757465
236	0.13002108
237	0.1297676072
238	0.1294763167
239	0.1293260228
240	0.1292815562
241	0.1292056078
242	0.1290107569
243	0.1287177957
244	0.1282798769
245	0.1279864497
246	0.127951497
247	0.1278241476
248	0.1276268406
249	0.1271936695
250	0.1271517107
251	0.1271235782
252	0.1270019834
253	0.1269817796
254	0.1268919776
255	0.1266229817
256	0.1265365183
257	0.1265337183
258	0.1260403581
259	0.1259439565
260	0.1258918181
261	0.1258553884
262	0.1257702498
263	0.1256658212
264	0.1255725208
265	0.1255472397
266	0.125060573
267	0.1250153994
268	0.1248250849
269	0.124779005
270	0.1247343335
271	0.1245744641
272	0.1245140653
273	0.1243391139
274	0.1242827664
275	0.1240739359
276	0.1240502197
277	0.1239618111
278	0.1238638044
279	0.1237644997
280	0.123682549
281	0.1233413672
282	0.1232188684
283	0.1231254456
284	0.1231084598
285	0.1229563998
286	0.1228957342
287	0.1226201543
288	0.1225937606
289	0.1225715514
290	0.1224735055
291	0.1220754453
292	0.1218614017
293	0.1217932457
294	0.1217436762
295	0.1217187548
296	0.1215888844
297	0.1214826156
298	0.1214804753
299	0.1213507998
300	0.1211922938
301	0.1210352305
302	0.1209044963
303	0.120793704
304	0.1207370029
305	0.1206269416
306	0.1206186793
307	0.1202522764
308	0.1201371804
309	0.1199828419
310	0.1198594215
311	0.1196428964
312	0.1195902225
313	0.1194688386
314	0.1192520371
315	0.1192068406
316	0.1188640869
317	0.1188299381
318	0.1187458213
319	0.1184841041
320	0.1182796481
321	0.1182249492
322	0.1181795989
323	0.1181479698
324	0.1180794513
325	0.1180137867
326	0.1179669933
327	0.1177075017
328	0.1174743122
329	0.1174435283
330	0.1172263277
331	0.1171974942
332	0.117118724
333	0.1169473848
334	0.1168739358
335	0.1163732849
336	0.1162919315
337	0.1161344887
338	0.1161192178
339	0.1159857744
340	0.1159839511
341	0.115887774
342	0.11549345
343	0.1153122855
344	0.1150715757
345	0.115069874
346	0.1150218259
347	0.115020044
348	0.1149513344
349	0.1148500887
350	0.1145623034
351	0.1143224774
352	0.1142454398
353	0.1141630728
354	0.1141543205
355	0.114065925
356	0.1139681043
357	0.1138230627
358	0.1135600795
359	0.1132488287
360	0.1131596281
361	0.1130779398
362	0.1130044222
363	0.1128540226
364	0.1128242512
365	0.1125046995
366	0.112405353
367	0.1123678543
368	0.1122905748
369	0.112134243
370	0.1120723102
371	0.1119999787
372	0.1119100492
373	0.1117319368
374	0.1116439417
375	0.1116429308
376	0.1115779536
377	0.1113300012
378	0.1112397004
379	0.11095669
380	0.1109280592
381	0.1108510351
382	0.1107474943
383	0.1106166809
384	0.110597011
385	0.1105956886
386	0.1105753321
387	0.1105386863
388	0.1103797902
389	0.1101430226
390	0.1100924999
391	0.1100242595
392	0.1099564874
393	0.1098364301
394	0.1097064476
395	0.1095579288
396	0.1094428471
397	0.1094192982
398	0.1091373757
399	0.1090383518
400	0.1090104143
401	0.108953594
402	0.1089515983
403	0.1088324235
404	0.1088096656
405	0.1087322345
406	0.1086265696
407	0.1085342482
408	0.1083965066
409	0.1082244037
410	0.1080820637
411	0.1080226477
412	0.1080150172
413	0.1079556584
414	0.1079408807
415	0.1073703813
416	0.1071909438
417	0.1070662995
418	0.1069904052
419	0.1068708076
420	0.1068088147
421	0.1067679545
422	0.1067044276
423	0.1066397714
424	0.1065112234
425	0.1063188594
426	0.1062931803
427	0.1061804618
428	0.1056471252
429	0.1056193077
430	0.105472645
431	0.1054223384
432	0.1053509637
433	0.1052970272
434	0.105255963
435	0.1051871994
436	0.1051173487
437	0.1050531068
438	0.1049905498
439	0.1048896273
440	0.1048096838
441	0.1047577259
442	0.1046880943
443	0.1046415293
444	0.1043998324
445	0.1042770207
446	0.104192979
447	0.1040772162
448	0.1037057099
449	0.1036849999
450	0.1036710965
451	0.1034473254
452	0.1034144387
453	0.1031489824
454	0.1031207116
455	0.1028671153
456	0.1027847358
457	0.102741074
458	0.1027334646
459	0.1024468948
460	0.1023791257
461	0.1021963683
462	0.1021357845
463	0.1020138161
464	0.1019899285
465	0.1019443198
466	0.1019210133
467	0.1018991873
468	0.101739201
469	0.1016791617
470	0.1015730909
471	0.1015578047
472	0.1013994837
473	0.1011391301
474	0.1010099663
475	0.1009149301
476	0.1008139936
477	0.1007834266
478	0.10052678
479	0.1004548782
480	0.1003939631
481	0.1001845262
482	0.1001650722
483	0.1001190435
484	0.09990972117
485	0.09990631798
486	0.0997466923
487	0.0996948398
488	0.0995736627
489	0.09939757388
490	0.0993196101
491	0.09926388995
492	0.0992140315
493	0.09919237467
494	0.09913945445
495	0.09908439756
496	0.09906028944
497	0.09900758701
498	0.09894960836
499	0.09893983204
500	0.09872877497
501	0.09866793091
502	0.09842985371
503	0.09834602496
504	0.09825758223
505	0.0981151165
506	0.09800316212
507	0.09798035571
508	0.09794211138
509	0.09793567011
510	0.09785868889
511	0.09783660398
512	0.09781462466
513	0.09775946703
514	0.09742268933
515	0.09738200453
516	0.09733276609
517	0.09728118712
518	0.09724086531
519	0.09716803098
520	0.09710275622
521	0.0970454472
522	0.0969576305
523	0.09694866677
524	0.09683554436
525	0.09681848129
526	0.09672255043
527	0.09663727669
528	0.09646861469
529	0.09645811188
530	0.09638216796
531	0.09623007665
532	0.09609920767
533	0.09602466471
534	0.09592520181
535	0.09581213617
536	0.09569042337
537	0.0955386028
538	0.09547732073
539	0.0953931444
540	0.09524770259
541	0.09514350525
542	0.09498774357
543	0.09491355085
544	0.09487880595
545	0.09487781405
546	0.09485014061
547	0.0946551024
548	0.09465356139
549	0.09458305974
550	0.09452394169
551	0.09439525884
552	0.0943824713
553	0.0942759066
554	0.09414761689
555	0.09402979948
556	0.09397214113
557	0.09394406121
558	0.09388215297
559	0.09380645167
560	0.0936958954
561	0.09365791849
562	0.09360706128
563	0.09359863237
564	0.0935643237
565	0.09351355475
566	0.09339634631
567	0.09338063809
568	0.09332692249
569	0.09330752119
570	0.09325352773
571	0.09310875199
572	0.09303869987
573	0.09292845552
574	0.09289179716
575	0.09274189617
576	0.09249041306
577	0.09246202174
578	0.09231787196
579	0.09228143888
580	0.09224971928
581	0.09201674129
582	0.091960938
583	0.09183306931
584	0.09180035704
585	0.09168909678
586	0.09158705989
587	0.09152712388
588	0.09150450095
589	0.09149234501
590	0.0914636305
591	0.09145143082
592	0.09130007573
593	0.0911578698
594	0.09110898049
595	0.09108297537
596	0.09104516927
597	0.090960504
598	0.0908945459
599	0.09080783429
600	0.09072791524
